antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
"35825, 37496, 46767","Jumbo Franks, Organic Deep Dark Sea Salt Chocolate, Robert Mondavi Pinot Grigio California 2013",18593,Hardwood Smoked Sliced Turkey Breast,0.1271,0.8506,6.6924,"{35825, 37496, 46767}",{18593}
"26130, 30369, 37019","Creamy Gorg Blue-Veined Cheese Soft, Gluten Free Spinach And Cheese Ravioli, Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert","35902, 4854","Vegan Garlic & Roasted Veggie Ravioli, Cheese Creations Creamy Tomato Cheese Sauce",0.2336,0.4493,1.9234,"{26130, 30369, 37019}","{35902, 4854}"
"17268, 30384, 7160","Original Potato Chips Triple Pack, Dark Caffe Verona Whole Bean Coffee, Clear Cups","12264, 13171","Fine Selection of Crackers and Biscuits for Cheese, Organic Whole Grain Black Beans & Rice Rice & Seasoning Mix",0.0828,0.8854,10.6932,"{17268, 30384, 7160}","{12264, 13171}"
"3163, 33926","Natural Calm Anti-Stress Drink, Adobo All Purpose Seasoning",17813,Caraway Seed,0.0772,0.7892,10.2228,"{3163, 33926}",{17813}
"14963, 24821, 34824","LashBlast Volume Mascara - Very Black 800, Wild Rose Deodorant Spray, Organic Sweet Onion","605, 691","Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender, Organic Promise Strawberry Fields Cereal",0.3174,0.456,1.4367,"{14963, 24821, 34824}","{605, 691}"
"22818, 34439","Cinnamon Pebbles Cereals, Super Echinacea",46068,Cinnamon Chips Baking Pieces,0.4041,0.3208,0.7939,"{22818, 34439}",{46068}
"28583, 39511, 48041","Down East Olive Oil Crackers, Baby Diaper Rash Ointment, DanActive Vanilla Probiotic Dairy Drink","15198, 47512","Performance Protein Vanilla Powder, Lite Energy Drink",0.4274,0.3228,0.7553,"{28583, 39511, 48041}","{15198, 47512}"
"30498, 37854, 47081","Classics Canine Cuisine Variety Pack Wet Dog Food, Berry Medley Oatmeal, Pink Himalayan Salt Mill",3527,Sorbet Pops Banana Coconut,0.3292,0.7049,2.1413,"{30498, 37854, 47081}",{3527}
"18593, 38592, 691","Hardwood Smoked Sliced Turkey Breast, Toilet Bowl Cleaner With Bleach, Organic Promise Strawberry Fields Cereal","13949, 41910","Organic Extra Large Omega 3 Grade AA Eggs, Apple And Banana Fruit Squish'ems",0.2722,0.9231,3.3913,"{18593, 38592, 691}","{13949, 41910}"
4287,Organic Pure Blueberry Juice,"43833, 46524","Organic Extra Thick Passata Rustica Puree, Natural Peanut Butter Crunchy and Flaxseed",0.0783,0.3506,4.4777,{4287},"{43833, 46524}"
19249,Naturally Dry Natural Powder for Women Antiperspirant/Deodorant,"1034, 33294","Medium Soup & Salad Containers + Lids, Tortillas, Wheat Free, Sprouted Corn",0.0616,0.6142,9.9708,{19249},"{1034, 33294}"
18116,Teatree Mint Hydrating Shampoo,24281,Organic Spelt Pie Crusts,0.3489,0.4232,1.213,{18116},{24281}
13171,Organic Whole Grain Black Beans & Rice Rice & Seasoning Mix,4665,Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee,0.2146,0.5634,2.6253,{13171},{4665}
"3092, 32685","Sour Cherry Sour Licorice Twists, Chicken & Vegetable Snack Sticks for Dogs",30384,Dark Caffe Verona Whole Bean Coffee,0.2578,0.6093,2.3635,"{3092, 32685}",{30384}
"28375, 43145","Natural Cedar Scent Toilet Cleaner, Pinto Beans with Jalapeno Peppers","35210, 48041","Natural Mozzarella Deli Style Sliced Cheese, DanActive Vanilla Probiotic Dairy Drink",0.0854,0.5119,5.9941,"{28375, 43145}","{35210, 48041}"
"15407, 38988, 40771","Ecological All Purpose Cleaner, Natural Lemon Fragrance, White English Muffins, Salt and Pepper Cashews",11432,Chopped Kale,0.4011,0.4745,1.183,"{15407, 38988, 40771}",{11432}
12479,Regular Cardboard Applicator Unscented Tampons,"26797, 6544","Drinkable Yogurt Starwberry, Garlic Rosemary Citrus Sauce",0.2873,0.6602,2.2979,{12479},"{26797, 6544}"
"34415, 7996","Light Bologna & American Cracker Stackers Lunchhable, Grenache Varietal Red Wine Vinegar","24328, 28750","Artichoke Spread, Extra Sharp Cheddar Cheese Chunk",0.0111,0.4236,38.1622,"{34415, 7996}","{24328, 28750}"
8582,Banana Vanilla Freeze Dried Yogurt & Fruit Snacks,23404,With Rice Gumbo Mix,0.1473,0.6989,4.7447,{8582},{23404}
"1097, 31054, 48949","Sonoma County Sauvignon Blanc, Ready To Eat Tomato Basil Soup, Low Fat Strawberry Milk","35074, 4452","Whole Milk Mozzarella Shredded Cheese, Fearless Uncured Beef Franks",0.1216,0.681,5.6003,"{1097, 31054, 48949}","{35074, 4452}"
37112,Everything Hommus,8582,Banana Vanilla Freeze Dried Yogurt & Fruit Snacks,0.2985,0.5394,1.807,{37112},{8582}
"35316, 37112, 5400","Shower Cleaner, Everything Hommus, Coconut Flavor",12231,Orange Jel Dessert,0.1433,0.5257,3.6685,"{35316, 37112, 5400}",{12231}
"37019, 48476","Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert, Tender Chicken & Stars Stage 3","24040, 45814","Beef Flavor Dog Snacks, Rose Foaming Face Wash",0.3892,0.3057,0.7855,"{37019, 48476}","{24040, 45814}"
"12440, 24789","California Lemonade, Organic Cold Season Tea Bags","38202, 45880","Original Lip Balm, Stuffed Clams",0.3792,0.7667,2.0219,"{12440, 24789}","{38202, 45880}"
"36354, 37019, 8582","Bourbon Vanilla & Tangerine Hair Texturizer, Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert, Banana Vanilla Freeze Dried Yogurt & Fruit Snacks","18116, 33781","Teatree Mint Hydrating Shampoo, Pasta Sauce",0.2746,0.4582,1.6686,"{36354, 37019, 8582}","{18116, 33781}"
"14388, 29303","Invisible Solid Outlast Completely Clean - 5.2 oz Twin, Pink Pearl Medium Rubber Eraser",34600,On the Go Pink Lemonade Drink Mix,0.3961,0.9999,2.5244,"{14388, 29303}",{34600}
"1190, 25953","Tequila Reposado with Glass, Guava Paste",2393,Avocado & Olive Oil Super Potion Anti Frizz Binding Serum,0.4545,0.777,1.7096,"{1190, 25953}",{2393}
"16425, 33810","Organic Lowafat 1% Milk, Citrus Dish Soap",16469,Broccoli Cheddar Quiche,0.4841,0.534,1.1031,"{16425, 33810}",{16469}
"37496, 40317, 4220","Organic Deep Dark Sea Salt Chocolate, Echo Caviar, Hot & Spicy Tomato Ketchup","27505, 39391","Original Strawberry Gelatin, Prosciutto Cotto",0.1947,0.4686,2.4068,"{37496, 40317, 4220}","{27505, 39391}"
"15198, 18116","Performance Protein Vanilla Powder, Teatree Mint Hydrating Shampoo","28711, 41872","Tamale Pepper Cheese 3 Pk, Herbal Tea, Organic Chamomile",0.0982,0.9769,9.9481,"{15198, 18116}","{28711, 41872}"
14963,LashBlast Volume Mascara - Very Black 800,1672,English Cucumbers,0.2762,0.4707,1.7042,{14963},{1672}
23805,Peppered Turkey Bacon,44051,Zero Vitamin Water,0.0347,0.6701,19.3112,{23805},{44051}
"1097, 4220, 43170","Sonoma County Sauvignon Blanc, Hot & Spicy Tomato Ketchup, Toll House Premier White Chocolate Morsels","33453, 49293","V-Fusion Fruit Punch Vegetable & Fruit Beverage, Blue Decorating Cake Icing",0.2264,0.57,2.5177,"{1097, 4220, 43170}","{33453, 49293}"
"33634, 40462","Clear Pore Oil Eliminating Astringent, Cleanse",21495,Extra Extra Dry Ultra Fresh,0.2398,0.3103,1.294,"{33634, 40462}",{21495}
"13863, 36035","Amazing Meal Chocolate Infusion Single, Reduced Sodium Jambalaya Mix","26345, 4479","Small/Medium Maximum Absorbency Women Underwear, Fair Trade Level 4",0.2053,0.3022,1.472,"{13863, 36035}","{26345, 4479}"
34600,On the Go Pink Lemonade Drink Mix,34439,Super Echinacea,0.0223,0.656,29.417,{34600},{34439}
"13863, 14586, 40771","Amazing Meal Chocolate Infusion Single, Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Salt and Pepper Cashews","19276, 25080","Whole Nutmeg, Ale, Not Quite Pale, No. 9",0.3403,0.5456,1.6033,"{13863, 14586, 40771}","{19276, 25080}"
"2562, 27688","Quick & Easy Steel Cut Irish Oatmeal, Original Pops",43847,Dory Blueberry Bubbles,0.4466,0.3898,0.8728,"{2562, 27688}",{43847}
36047,Los Osos Merlot,"2606, 48872","Mr. Goodbar Milk Chocolate with Peanuts Candy Bar, Every Man's One Daily Multivitamin",0.0331,0.8646,26.1208,{36047},"{2606, 48872}"
15250,Good Buddy Rawhide Pressed Bone,"1097, 13350","Sonoma County Sauvignon Blanc, Vine Ripened Golden Berries",0.2806,0.7615,2.7138,{15250},"{1097, 13350}"
"1077, 45013, 9009","Security Super Plus Unscented Tampons, Apple Sauce, Fuji  Apples","33453, 43857","V-Fusion Fruit Punch Vegetable & Fruit Beverage, Traditional Chicken & Wild Rice Soup",0.1976,0.6432,3.2551,"{1077, 45013, 9009}","{33453, 43857}"
7671,Organic Yogurt Baby Food,"22757, 27248","Bag of Kiwis, G-Series Rain Berry Thirst Quencher Sports Drink",0.4862,0.5183,1.066,{7671},"{22757, 27248}"
"1168, 13949, 4603","White Wine Winemaker's Blend California, 2010, Organic Extra Large Omega 3 Grade AA Eggs, Organic Emerald Matcha Whole Leaf Tea",16150,Organic Seaweed Gomasio,0.3065,0.9156,2.9873,"{1168, 13949, 4603}",{16150}
"13718, 27784, 4379","Grape with Electrolytes & Vitamins Water Beverage, Lemonade With Tea, Tandoori Chicken Samosa",4200,60 Watt Crystal Clear Bulbs,0.4844,0.4487,0.9263,"{13718, 27784, 4379}",{4200}
24466,Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub,"15770, 6411","Hot Dog Chili Sauce, Delights Honey Wheat Flatbread Turkey Sausage, Egg & Cheese",0.0187,0.3035,16.2299,{24466},"{15770, 6411}"
"24899, 44051","Spinach & Ricotta Tortelloni, Zero Vitamin Water","33294, 48015","Tortillas, Wheat Free, Sprouted Corn, Lime Slim Can",0.4189,0.4807,1.1475,"{24899, 44051}","{33294, 48015}"
"34400, 41744, 941","Chutney, Major Grey Mango, Organic Cacao Beans, Smoked Atlantic Nova Salmon","13968, 38988","Rustic Tomato Basil Sauce, White English Muffins",0.1599,0.67,4.1901,"{34400, 41744, 941}","{13968, 38988}"
"23333, 2564, 2643","Beef Ravioli in Tomato & Meat Sauce, 100% Tomato Juice, Organic Bagged Kale Salad Mix","16727, 3573","Organic Bosc Pears, Organic Green Sauerkraut",0.2161,0.9233,4.2726,"{23333, 2564, 2643}","{16727, 3573}"
5837,Collard Mustard Turnip Greens Southern Blend,46257,"Protein Bar, High, Cookies & Cream",0.0763,0.302,3.9581,{5837},{46257}
"30498, 41999, 483","Classics Canine Cuisine Variety Pack Wet Dog Food, Cut Tulips (Choose Color), \""Constant Comment\"" Decaffeinated Black Tea Blend",12479,Regular Cardboard Applicator Unscented Tampons,0.1977,0.6661,3.3692,"{30498, 41999, 483}",{12479}
"17813, 39637","Caraway Seed, Deep Dish Sausage & Gravy Pot Pie",41739,Boneless Fried Chicken & Waffles,0.1937,0.4593,2.3712,"{17813, 39637}",{41739}
"26274, 37549, 7671","Dutch Apple Pie, Chocolate Cake Mix, Organic Yogurt Baby Food",46976,Dry Sweeping Refills  X-Large,0.1102,0.624,5.6624,"{26274, 37549, 7671}",{46976}
"11932, 27115, 27912","2\"" Width Self Adhering Elastic Athletic Bandage, All-Natural Autumn Apple  Fruit Strip, California Blend Broccoli, Cauliflower & Carrots",452,Sleepytime Sinus Soother Herbal Tea,0.0694,0.6432,9.268,"{11932, 27115, 27912}",{452}
40903,2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food,9694,Hickory Ham & Cheddar in a Croissant Crust,0.3459,0.7983,2.3079,{40903},{9694}
4517,Sausage Pizza Rolls,"35210, 46401","Natural Mozzarella Deli Style Sliced Cheese, EAS Complete Chocolate Protein Powder",0.4369,0.8571,1.9618,{4517},"{35210, 46401}"
"39643, 6300","Organic Dairy Iron-Fortified Toddler Formula, Light & Lean Pasta & Veggie Bowl",46767,Robert Mondavi Pinot Grigio California 2013,0.1665,0.4277,2.5688,"{39643, 6300}",{46767}
17813,Caraway Seed,"35074, 39511","Whole Milk Mozzarella Shredded Cheese, Baby Diaper Rash Ointment",0.4237,0.5904,1.3934,{17813},"{35074, 39511}"
7671,Organic Yogurt Baby Food,"30912, 35825","Original Decaf Medium Roast K-Cups, Jumbo Franks",0.3838,0.7144,1.8614,{7671},"{30912, 35825}"
"20172, 37112, 4669","Almond Goat's Milk Soap, Everything Hommus, Pure Rewards Beef Jerky Bits Dog Treats","14963, 39511","LashBlast Volume Mascara - Very Black 800, Baby Diaper Rash Ointment",0.3654,0.8094,2.2151,"{20172, 37112, 4669}","{14963, 39511}"
43337,Pomegranate with Blueberry 100% Juice,"22015, 3527","Thin Mint Crisp Oreos, Sorbet Pops Banana Coconut",0.3159,0.3779,1.1963,{43337},"{22015, 3527}"
"12428, 17740","Steam'ables Green Peas, Tortillas, Flour","34353, 43281","Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types, Organic Lemon Perfume Oil",0.4091,0.9658,2.3608,"{12428, 17740}","{34353, 43281}"
"31054, 46941","Ready To Eat Tomato Basil Soup, Provolone Slices",9694,Hickory Ham & Cheddar in a Croissant Crust,0.1161,0.5486,4.7252,"{31054, 46941}",{9694}
43281,Organic Lemon Perfume Oil,36675,"Kale Krunch, Organic, Southwest Ranch",0.4257,0.6193,1.4548,{43281},{36675}
"1168, 4452, 9217","White Wine Winemaker's Blend California, 2010, Fearless Uncured Beef Franks, Cold Brew Coffee With Coconut Milk",32736,Humectress Conditioner,0.2415,0.8969,3.7139,"{1168, 4452, 9217}",{32736}
14388,Invisible Solid Outlast Completely Clean - 5.2 oz Twin,"33781, 38218","Pasta Sauce, Rising Crust Three Meat Pizza",0.4854,0.638,1.3144,{14388},"{33781, 38218}"
28666,Organic Vitality Snack Wild Raspberry,29084,Honey Mustard Nut-Thins Cracker,0.3846,0.5852,1.5216,{28666},{29084}
3573,Organic Green Sauerkraut,"14647, 29303","Diced Hot Green Chiles, Pink Pearl Medium Rubber Eraser",0.1461,0.3896,2.6667,{3573},"{14647, 29303}"
12031,"Taco Seasoning, No. 4",15534,Lightly Salted Roasted Edamame,0.3756,0.4851,1.2915,{12031},{15534}
"25493, 28375, 35210","Cookies 'n Cream with Oreo Cookie Pieces Lowfat Yogurt, Natural Cedar Scent Toilet Cleaner, Natural Mozzarella Deli Style Sliced Cheese","10133, 9344","Rockin Refuel Chocolate Protein Milk Beverage, Simply 100 Pineapple Blended Non-Fat Greek Yogurt",0.2973,0.6874,2.3121,"{25493, 28375, 35210}","{10133, 9344}"
"11432, 20950","Chopped Kale, Digestive Advantage Probiotic Fruit Gummies",34583,100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn,0.434,0.6884,1.5862,"{11432, 20950}",{34583}
"34439, 3638","Super Echinacea, Organic Original Panko",9903,Caramel Milk Chocolate Candy,0.3606,0.5372,1.4897,"{34439, 3638}",{9903}
16469,Broccoli Cheddar Quiche,"4200, 43337","60 Watt Crystal Clear Bulbs, Pomegranate with Blueberry 100% Juice",0.2044,0.8536,4.1761,{16469},"{4200, 43337}"
"14041, 18550, 41815","Whole Grain Seeded Dinner Roll, Organic Original Coconut Smoothie, Ham & Turkey Breast Sub Kit",41601,All Profits To Charity Pineapple Salsa,0.0237,0.4477,18.8903,"{14041, 18550, 41815}",{41601}
"42267, 48158","Classic Mustard, Blackberry Graham Soft-Baked Cereal Bars",35074,Whole Milk Mozzarella Shredded Cheese,0.1529,0.9637,6.3028,"{42267, 48158}",{35074}
49293,Blue Decorating Cake Icing,16150,Organic Seaweed Gomasio,0.2311,0.7635,3.3038,{49293},{16150}
"25625, 39938","Nonfat Yogurt, 7 Grain Waffles",36789,UltimateCare Premium Liquid Bleach,0.0614,0.8343,13.5879,"{25625, 39938}",{36789}
"12479, 21391, 40903","Regular Cardboard Applicator Unscented Tampons, Sardines In Soybean Oil, 2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food",39768,Rescue Natural Sleep Liquid Melts,0.0443,0.4851,10.9503,"{12479, 21391, 40903}",{39768}
"20171, 33453, 39768","White Bread, V-Fusion Fruit Punch Vegetable & Fruit Beverage, Rescue Natural Sleep Liquid Melts","1077, 483","Security Super Plus Unscented Tampons, \""Constant Comment\"" Decaffeinated Black Tea Blend",0.1901,0.4031,2.1205,"{20171, 33453, 39768}","{1077, 483}"
24554,"Bars, Slim, Raspberry Truffle, Vegan, Bars, Gluten Free, Box",24190,In Light Syrup & Passion Fruit Juice Tropical Fruit,0.4265,0.651,1.5264,{24554},{24190}
"14647, 20172, 23020","Diced Hot Green Chiles, Almond Goat's Milk Soap, Diet Tonic Water","13863, 36354","Amazing Meal Chocolate Infusion Single, Bourbon Vanilla & Tangerine Hair Texturizer",0.3525,0.7345,2.0837,"{14647, 20172, 23020}","{13863, 36354}"
"12785, 26021","Deluxe Original Cheddar Macaroni & Cheese Dinner, Caramel Nut Brownie","15198, 35206","Performance Protein Vanilla Powder, Whitening Plus Scope Crest Complete Whitening + Scope Multi-Benefit Minty Fresh Striped Toothpaste 6.2oz Dentifrice",0.4487,0.4081,0.9095,"{12785, 26021}","{15198, 35206}"
44808,Light Blackberry Yogurt,48974,Organic Asian Sesame Dressing,0.4875,0.4886,1.0023,{44808},{48974}
"15859, 24040","World Harbor Marinade Sriracha, Beef Flavor Dog Snacks","1926, 33781","2 In 1 Super Foam & Scrub Sponges, Pasta Sauce",0.0344,0.9221,26.8052,"{15859, 24040}","{1926, 33781}"
"28442, 31250, 39568","Coronita Beer Extra, Apples Honeycrisp, Kick Ass Allergy",702,Cheese Spread Port Wine,0.2143,0.5587,2.6071,"{28442, 31250, 39568}",{702}
16626,Brownie Moose Tracks Ice Cream,"26254, 28789","Corn Snack, Hot Chili Pepper & Lime, Takis, La Lechera Sweetened Condensed Milk",0.2181,0.582,2.6685,{16626},"{26254, 28789}"
"5172, 5533","Original Croccantini, Washing Machine Cleaner",44101,Passion Fruit Ginger Ale,0.4925,0.3033,0.6158,"{5172, 5533}",{44101}
"43281, 48449","Organic Lemon Perfume Oil, Frozen Concentrated Lemonade",41298,Town House Italian Herb Flatbread Crisps,0.0483,0.7891,16.3375,"{43281, 48449}",{41298}
8281,Head of Lettuce,24181,No Sugar Added Lemon & Cherry Flavor Real Italian Ice,0.2209,0.7101,3.2146,{8281},{24181}
"17969, 20464, 765","Calcium 100% Grape Juice, Salted Almonds & Milk Chocolate 41% Cacao, Swaddlers Diapers Jumbo Pack Size Newborn",8281,"Clinical Strength Invisible Solid Deodorant, Head of Lettuce",0.4789,0.6047,1.2627,"{17969, 20464, 765}",{ 8281}
"10014, 19249, 4631","Fresh Puttanesca Sauce, Naturally Dry Natural Powder for Women Antiperspirant/Deodorant, Lip Rescue with Eco - Harvest Tea Tree Oil","24132, 45903","Pure Life Splash Wild Berry Flavored Water, Sake",0.1563,0.3819,2.4434,"{10014, 19249, 4631}","{24132, 45903}"
"15882, 31054, 40462","Passion Punch, Ready To Eat Tomato Basil Soup, Cleanse","18134, 31506","Original Coconut Oil Soap, Extra Virgin Olive Oil",0.1822,0.353,1.9374,"{15882, 31054, 40462}","{18134, 31506}"
39768,Rescue Natural Sleep Liquid Melts,"24607, 45013","Artichoke & Parmesan Dip, Apple Sauce",0.1185,0.6588,5.5595,{39768},"{24607, 45013}"
"24040, 32594","Beef Flavor Dog Snacks, Celery Ground Spice",37496,Organic Deep Dark Sea Salt Chocolate,0.4897,0.8102,1.6545,"{24040, 32594}",{37496}
14230,Golden Battered Fish Fillet With Rice And Cheesy Broccoli,24620,Gourmet Mexican Salsa New Mexico Red Chile,0.0843,0.9582,11.3665,{14230},{24620}
"17427, 6833","Uncured Beef Franks, Udo's Choice Super 8 Probiotic Capsules",24554,"Bars, Slim, Raspberry Truffle, Vegan, Bars, Gluten Free, Box",0.138,0.791,5.7319,"{17427, 6833}",{24554}
"18116, 18134, 4665","Teatree Mint Hydrating Shampoo, Original Coconut Oil Soap, Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee","18723, 38644","Sterile Gauze Pads, Organic Thai Basil",0.1777,0.9589,5.3962,"{18116, 18134, 4665}","{18723, 38644}"
"35316, 7829","Shower Cleaner, Organic Protein Vanilla Smoothie","1168, 8582","White Wine Winemaker's Blend California, 2010, Banana Vanilla Freeze Dried Yogurt & Fruit Snacks",0.3771,0.4943,1.3108,"{35316, 7829}","{1168, 8582}"
28666,Organic Vitality Snack Wild Raspberry,23513,Relaxing Lavender Mineral Bath,0.3682,0.5352,1.4536,{28666},{23513}
48914,Chocolate Creme Cupcakes,46506,Taco Seasoned Beef & Cheese Extra Crunchy Taquitos,0.1208,0.5605,4.6399,{48914},{46506}
"3527, 41739","Sorbet Pops Banana Coconut, Boneless Fried Chicken & Waffles","23404, 25493","With Rice Gumbo Mix, Cookies 'n Cream with Oreo Cookie Pieces Lowfat Yogurt",0.4229,0.7954,1.8808,"{3527, 41739}","{23404, 25493}"
"19249, 25989, 49254","Naturally Dry Natural Powder for Women Antiperspirant/Deodorant, Low Dose 81mg Enteric Coated Aspirin Tablets Pain Reliever, Single Donut","16527, 46506","LashBlast Volume Mascara - Black 805, Taco Seasoned Beef & Cheese Extra Crunchy Taquitos",0.286,0.8895,3.1101,"{19249, 25989, 49254}","{16527, 46506}"
"10585, 483, 7996","Spinach & Roasted Garlic Crackers, \""Constant Comment\"" Decaffeinated Black Tea Blend, Grenache Varietal Red Wine Vinegar",2989,Sweet Marsala,0.4125,0.9744,2.3622,"{10585, 483, 7996}",{2989}
24040,Beef Flavor Dog Snacks,13278,"Hand Soap, Refill Size, French Lavender",0.0783,0.4474,5.7139,{24040},{13278}
"24190, 45007, 47190","In Light Syrup & Passion Fruit Juice Tropical Fruit, Organic Zucchini, Kosher Matzo Meal For Passover","23918, 43170","Fragrance Free Pure Olive Oil Soap Bars, Toll House Premier White Chocolate Morsels",0.1537,0.447,2.9083,"{24190, 45007, 47190}","{23918, 43170}"
"46524, 4883","Natural Peanut Butter Crunchy and Flaxseed, Holiday Milk Chocolates",18613,Light Southwestern Style Vegetable Soup,0.3986,0.8948,2.2449,"{46524, 4883}",{18613}
